일자,작품명,합계
2023-01-01,2022 뮤지컬 <브로드웨이42번가>,846
2023-01-01,연극 레드,151
2023-01-01,연극 레드,94
2023-01-03,2022 뮤지컬 <브로드웨이42번가>,750
2023-01-03,연극 레드,141
2023-01-03,소프라노 이지혜 독창회,180
2023-01-03,클라리넷티스트 이새롬의 실내악 리사이틀,79
2023-01-04,2022 뮤지컬 <브로드웨이42번가>,830
2023-01-04,2022 뮤지컬 <브로드웨이42번가>,703
2023-01-04,연극 레드,115
2023-01-04,2023 신년음악회,1704
2023-01-05,2022 뮤지컬 <브로드웨이42번가>,774
2023-01-05,연극 레드,154
2023-01-06,2022 뮤지컬 <브로드웨이42번가>,825
2023-01-06,연극 레드,130
2023-01-06,스콜비 피아노구민희  안화영 듀오 리사이틀,151
2023-01-06,소프라노 손지수 앨범 발매 기념 콘서트,91
2023-01-06,김홍민 첼로 독주회,176
2023-01-07,2022 뮤지컬 <브로드웨이42번가>,796
2023-01-07,2022 뮤지컬 <브로드웨이42번가>,803
2023-01-07,연극 레드,189
2023-01-07,연극 레드,169
2023-01-07,이인지 피아노 독주회,68
2023-01-07,서울비르투오지 신년음악회,377
2023-01-07,히로타슌지&이유정 듀오 피아노 연주회,215
2023-01-07,코펙스 챔버오케스트라 창단연주회,567
2023-01-07,신년음악회,84
2023-01-07,2023 대원문화재단 신년음악회,1953
2023-01-08,2022 뮤지컬 <브로드웨이42번가>,832
2023-01-08,연극 레드,181
2023-01-08,연극 레드,162
2023-01-08,이윤미 비올라 독주회,86
2023-01-08,이기석 비올라 독주회,134
2023-01-08,김판주 트럼펫 독주회,42
2023-01-08,2023 신년음악회: 비엔나 인 서울,1096
2023-01-08,신 피아노 클럽 창단기념 신년음악회,317
2023-01-10,2022 뮤지컬 <브로드웨이42번가>,730
2023-01-10,연극 레드,129
2023-01-11,2022 뮤지컬 <브로드웨이42번가>,844
2023-01-11,2022 뮤지컬 <브로드웨이42번가>,720
2023-01-11,연극 레드,167
2023-01-12,2022 뮤지컬 <브로드웨이42번가>,785
2023-01-12,연극 레드,150
2023-01-12,뮤지컬 < 베토벤; Beethoven Secret >,1983
2023-01-12,뮤지컬 < 베토벤; Beethoven Secret >,2573
2023-01-13,2022 뮤지컬 <브로드웨이42번가>,826
2023-01-13,연극 레드,167
2023-01-13,뮤지컬 < 베토벤; Beethoven Secret >,1946
2023-01-14,2022 뮤지컬 <브로드웨이42번가>,817
2023-01-14,2022 뮤지컬 <브로드웨이42번가>,826
2023-01-14,연극 레드,165
2023-01-14,연극 레드,170
2023-01-14,뮤지컬 < 베토벤; Beethoven Secret >,1994
2023-01-14,뮤지컬 < 베토벤; Beethoven Secret >,1622
2023-01-15,2022 뮤지컬 <브로드웨이42번가>,840
2023-01-15,연극 레드,178
2023-01-15,연극 레드,177
2023-01-15,뮤지컬 < 베토벤; Beethoven Secret >,1991
2023-01-15,뮤지컬 < 베토벤; Beethoven Secret >,1819
2023-01-17,연극 레드,149
2023-01-17,뮤지컬 < 베토벤; Beethoven Secret >,1175
2023-01-17,석유리 오보에 독주회,175
2023-01-17,바로크 오케스트라 콘서트,415
2023-01-17,Welcome 2023 신년음악회,93
2023-01-18,연극 레드,144
2023-01-18,뮤지컬 < 베토벤; Beethoven Secret >,980
2023-01-18,쥐스탱 테일러 하프시코드 독주회,324
2023-01-18,엄희원 귀국 바이올린 독주회,137
2023-01-18,"정윤희, 손미래 듀오 리사이틀",75
2023-01-18,제14회ARKO한국창작음악제(국악부문),886
2023-01-19,연극 레드,83
2023-01-19,뮤지컬 < 베토벤; Beethoven Secret >,1167
2023-01-19,김영진 피아노 독주회,91
2023-01-19,한화생명과 함께하는 예술의전당 11시 콘서트(1월),1797
2023-01-19,임누리 귀국 바이올린 독주회,286
2023-01-20,연극 레드,159
2023-01-20,뮤지컬 < 베토벤; Beethoven Secret >,810
2023-01-20,뮤지컬 < 베토벤; Beethoven Secret >,1016
2023-01-20,김규현 박종해 듀오 리사이틀<프로코피예프&쇼스타코비치>,180
2023-01-20,원민지 귀국 첼로 독주회,210
2023-01-20,실내악 축제,79
2023-01-21,연극 레드,184
2023-01-21,연극 레드,133
2023-01-21,뮤지컬 < 베토벤; Beethoven Secret >,906
2023-01-21,뮤지컬 < 베토벤; Beethoven Secret >,1182
2023-01-23,연극 레드,197
2023-01-23,연극 레드,191
2023-01-23,뮤지컬 < 베토벤; Beethoven Secret >,1195
2023-01-23,뮤지컬 < 베토벤; Beethoven Secret >,913
2023-01-24,연극 레드,191
2023-01-24,뮤지컬 < 베토벤; Beethoven Secret >,919
2023-01-24,뮤지컬 < 베토벤; Beethoven Secret >,1187
2023-01-25,연극 레드,170
2023-01-25,뮤지컬 < 베토벤; Beethoven Secret >,845
2023-01-25,윤지용 오보에 독주회,133
2023-01-25,바이올리니스트 박진수 슈베르트 앨범발매 기념 리사이틀,215
2023-01-25,최인영 피아노 독주회 ,53
2023-01-25,한경arte 더클래식 2023,949
2023-01-26,연극 레드,114
2023-01-26,뮤지컬 < 베토벤; Beethoven Secret >,1983
2023-01-26,뮤지컬 < 베토벤; Beethoven Secret >,2573
2023-01-26,뮤지컬 < 베토벤; Beethoven Secret >,0
2023-01-26,김은찬 귀국 피아노 독주회,266
2023-01-26,아르텔필하모닉오케스트라 2023 신년음악회,1371
2023-01-26,유재아 플루트 리사이틀 : Suite & Jazz Ⅰ,229
2023-01-26,김보영 피아노 독주회,54
2023-01-27,연극 레드,131
2023-01-27,뮤지컬 < 베토벤; Beethoven Secret >,679
2023-01-27,뮤지컬 < 베토벤; Beethoven Secret >,1092
2023-01-27,KT와 함께하는 예술의전당 마음을 담은 클래식(1월),1616
2023-01-27,바이올린 에릭실버거 & 피아니스트 이선미,303
2023-01-27,손은정 피아노 독주회,171
2023-01-27,2022 KCO 전국음악콩쿨 위너 콘서트 시리즈 1,77
2023-01-28,연극 레드,168
2023-01-28,연극 레드,158
2023-01-28,뮤지컬 < 베토벤; Beethoven Secret >,898
2023-01-28,뮤지컬 < 베토벤; Beethoven Secret >,677
2023-01-28,KBS교향악단 제786회 정기연주회,2225
2023-01-28,임지연 귀국 클라리넷 독주회,134
2023-01-28,연극 <셰익스피어 인 러브>,457
2023-01-28,김다솔 피아노 독주회,67
2023-01-28,포어스트만 콰르텟 정기연주회 Omaggio,206
2023-01-28,정지혜 타악기 독주회,178
2023-01-28,웅산&이희문의 소소살롱,213
2023-01-29,연극 레드,180
2023-01-29,연극 레드,179
2023-01-29,뮤지컬 < 베토벤; Beethoven Secret >,1200
2023-01-29,연극 <셰익스피어 인 러브>,471
2023-01-29,연극 <셰익스피어 인 러브>,511
2023-01-29,김은아 귀국 피아노 독주회,185
2023-01-29,장서윤 귀국 비올라 독주회,98
